env_step,episode,train_step,0_episode_r,1_episode_r,2_episode_r,3_episode_r,4_episode_r,5_episode_r,mean_episode_r,action_left_mean,action_right_mean,action_abs_mean,action_std,num_target,num_collision,finish_time
800,1,634,-7.673489570617676,-9.989907264709473,1.5299243927001953,-1.5430670976638794,0.174219012260437,-0.042914509773254395,-2.9242058396339417,-0.005003060679882765,0.009023807011544704,0.23559679090976715,0.28828731179237366,0.0,4,800.0
1600,2,1434,-2.3995542526245117,-6.455710411071777,-0.04167604446411133,2.636915445327759,-4.423128604888916,-4.915650367736816,-2.599800705909729,0.0061936285346746445,0.007835817523300648,0.24484609067440033,0.296792596578598,0.0,2,800.0
2400,3,2234,-2.624049186706543,13.093229293823242,3.8038716316223145,14.97071647644043,9.964435577392578,-0.6980643272399902,6.418356577555339,-0.03077627904713154,-0.013077718205749989,0.21063637733459473,0.28215253353118896,3.0,0,800.0
3200,4,3034,-3.2130892276763916,4.238076210021973,-2.41705060005188,8.454241752624512,15.042423248291016,2.406859874725342,4.085243542989095,-0.05791404843330383,-0.07641784846782684,0.1909395009279251,0.27273377776145935,3.0,1,800.0
4000,5,3834,-1.1705050468444824,11.910757064819336,7.2832560539245605,10.392043113708496,9.674215316772461,13.585092544555664,8.612476507822672,-0.07085303962230682,-0.07767198234796524,0.11173081398010254,0.21956771612167358,5.0,5,800.0
4800,6,4634,-1.2887589931488037,11.844684600830078,23.08306884765625,14.62744140625,6.396719932556152,29.934541702270508,14.099616249402365,-0.1083751693367958,-0.12106684595346451,0.18253770470619202,0.29832926392555237,5.0,4,800.0
5600,7,5434,-4.470887184143066,28.392723083496094,15.657291412353516,13.349222183227539,4.456060886383057,15.900455474853516,12.214144309361776,-0.07585299760103226,-0.08301093429327011,0.23862583935260773,0.34714749455451965,3.0,1,800.0
6400,8,6234,-4.989998817443848,10.543703079223633,-4.989998817443848,13.865385055541992,12.562934875488281,-1.459047794342041,4.255496263504028,-0.03670962154865265,-0.03824299946427345,0.19383779168128967,0.3122554421424866,3.0,0,800.0
7200,9,7034,15.790092468261719,18.310911178588867,-6.789999008178711,22.187843322753906,-2.8406758308410645,-2.6925599575042725,7.327602028846741,-0.03823128342628479,-0.041210372000932693,0.1913103610277176,0.31507641077041626,3.0,2,800.0
8000,10,7834,12.041285514831543,6.243762016296387,5.042771816253662,0.6107087135314941,8.350125312805176,-4.129883289337158,4.693128347396851,-0.03240067511796951,-0.03202250972390175,0.23804685473442078,0.345725417137146,2.0,1,800.0
8800,11,8634,-0.22220540046691895,-5.40439510345459,21.747276306152344,17.20501708984375,7.144797325134277,0.19170749187469482,6.7770329515139265,-0.06986654549837112,-0.07115232199430466,0.28967902064323425,0.3886285424232483,2.0,1,800.0
